Observation,Data_Marking,ValueDomain,Obs_Type,Obs_Type_Value,Unit_of_Measure_Eng,Geographic_Area,Time,Time_Type,CDID,Dimension_1,Dimension_Value_1,Dimension_2,Dimension_Value_2,Dimension_3,Dimension_Value_3
5730,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
1145,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
2650,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
2004,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
646,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
2244,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
1808,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
436,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
1575,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
1524,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
51,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
406,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
394,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
12,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
6366,,Count,,,,W92000004,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
5290,,Count,,,,W92000004,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
1076,,Count,,,,W92000004,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
2425,,Count,,,,W92000004,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
1809,,Count,,,,W92000004,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
616,,Count,,,,W92000004,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
2064,,Count,,,,W92000004,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
1665,,Count,,,,W92000004,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
399,,Count,,,,W92000004,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
1495,,Count,,,,W92000004,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
1445,,Count,,,,W92000004,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
50,,Count,,,,W92000004,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
382,,Count,,,,W92000004,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
371,,Count,,,,W92000004,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
11,,Count,,,,W92000004,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
509,,Count,,,,W92000004,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
440,,Count,,,,W92000004,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
69,,Count,,,,W92000004,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
225,,Count,,,,W92000004,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
195,,Count,,,,W92000004,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
30,,Count,,,,W92000004,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
180,,Count,,,,W92000004,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
143,,Count,,,,W92000004,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
37,,Count,,,,W92000004,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
80,,Count,,,,W92000004,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
79,,Count,,,,W92000004,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
1,,Count,,,,W92000004,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
24,,Count,,,,W92000004,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
23,,Count,,,,W92000004,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
1,,Count,,,,W92000004,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
5675,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
5327,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
348,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
2227,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
2009,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
218,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
1907,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
1806,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
101,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
1315,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
1289,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
26,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
226,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
223,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
3,,Count,,,,E12000001,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
5123,,Count,,,,E12000001,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
4816,,Count,,,,E12000001,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
307,,Count,,,,E12000001,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
1992,,Count,,,,E12000001,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
1810,,Count,,,,E12000001,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
182,,Count,,,,E12000001,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
1696,,Count,,,,E12000001,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
1599,,Count,,,,E12000001,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
97,,Count,,,,E12000001,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
1234,,Count,,,,E12000001,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
1208,,Count,,,,E12000001,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
26,,Count,,,,E12000001,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
201,,Count,,,,E12000001,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
199,,Count,,,,E12000001,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
2,,Count,,,,E12000001,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
552,,Count,,,,E12000001,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
511,,Count,,,,E12000001,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
41,,Count,,,,E12000001,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
235,,Count,,,,E12000001,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
199,,Count,,,,E12000001,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
36,,Count,,,,E12000001,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
211,,Count,,,,E12000001,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
207,,Count,,,,E12000001,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
4,,Count,,,,E12000001,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
81,,Count,,,,E12000001,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
81,,Count,,,,E12000001,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
0,,Count,,,,E12000001,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
25,,Count,,,,E12000001,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
24,,Count,,,,E12000001,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
1,,Count,,,,E12000001,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
8918,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
8703,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
215,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
4175,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
4028,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
147,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
2737,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
2690,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
47,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
1581,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
1571,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
10,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
425,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
414,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
11,,Count,,,,E12000002,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
8144,,Count,,,,E12000002,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
7985,,Count,,,,E12000002,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
159,,Count,,,,E12000002,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
3762,,Count,,,,E12000002,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
3661,,Count,,,,E12000002,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
101,,Count,,,,E12000002,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
2515,,Count,,,,E12000002,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
2473,,Count,,,,E12000002,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
42,,Count,,,,E12000002,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
1483,,Count,,,,E12000002,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
1474,,Count,,,,E12000002,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
9,,Count,,,,E12000002,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
384,,Count,,,,E12000002,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
377,,Count,,,,E12000002,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
7,,Count,,,,E12000002,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
774,,Count,,,,E12000002,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
718,,Count,,,,E12000002,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
56,,Count,,,,E12000002,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
413,,Count,,,,E12000002,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
367,,Count,,,,E12000002,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
46,,Count,,,,E12000002,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
222,,Count,,,,E12000002,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
217,,Count,,,,E12000002,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
5,,Count,,,,E12000002,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
98,,Count,,,,E12000002,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
97,,Count,,,,E12000002,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
1,,Count,,,,E12000002,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
41,,Count,,,,E12000002,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
37,,Count,,,,E12000002,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
4,,Count,,,,E12000002,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
15827,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
10759,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
5068,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
6660,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
3407,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
3253,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
5337,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
3788,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
1549,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
3230,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
2979,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
251,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
600,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
585,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
15,,Count,,,,E12000003,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
14547,,Count,,,,E12000003,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
9722,,Count,,,,E12000003,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
4825,,Count,,,,E12000003,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
6180,,Count,,,,E12000003,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
3053,,Count,,,,E12000003,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
3127,,Count,,,,E12000003,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
4842,,Count,,,,E12000003,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
3393,,Count,,,,E12000003,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
1449,,Count,,,,E12000003,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
2989,,Count,,,,E12000003,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
2752,,Count,,,,E12000003,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
237,,Count,,,,E12000003,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
536,,Count,,,,E12000003,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
524,,Count,,,,E12000003,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
